name,latitude,longitude,acres14,acres15,acres16,acres17,acres18,acres19,acres20,HouseUnits14,HouseUnits15,HouseUnits16,HouseUnits17,HouseUnits18,HouseUnits19,HouseUnits20,OwnOccupied14,OwnOccupied15,OwnOccupied16,OwnOccupied17,OwnOccupied18,OwnOccupied19,OwnOccupied20,TotalPop14,TotalPop15,TotalPop16,TotalPop17,TotalPop18,TotalPop19,TotalPop20,Households14,Households15,Households16,Households17,Households18,Households19,Households20,Families14,Families15,Families16,Families17,Families18,Families19,Families20,Crash14,Crash15,Crash16,Crash17,Crash18,Crash19,Crash20
Crestwood,43.0677516,-89.4770243,452.5,451.5,451.5,451.5,451.5,451.5,451.5,1029,1029,1029,1029,1029,1029,1029,80.6,80.6,80.6,80.6,80.6,80.6,80.6,2110,2110,2110,2110,2110,2110,2110,1000,1000,1000,1000,1000,1000,1000,21.4,21.4,21.4,21.4,21.4,21.4,21.4,23,22,16,17,26,31,25
Orchard Ridge,43.0353685,-89.4718327,744.2,744.2,744.2,744.2,744.2,744.2,744.2,1893,1893,1893,1893,1893,1893,1893,68.7,68.7,68.7,68.7,68.7,68.7,68.7,4184,4184,4184,4184,4184,4184,4184,1791,1791,1791,1791,1791,1791,1791,25.2,25.2,25.2,25.2,25.2,25.2,25.2,58,59,46,37,45,52,42
Marlborough,43.0320173,-89.4540084,274.6,274.6,274.6,274.6,274.6,274.6,274.6,1033,1033,1033,1033,1033,1033,1033,27.6,27.6,27.6,27.6,27.6,27.6,27.6,2358,2358,2358,2358,2358,2358,2358,893,893,893,893,893,893,893,39.6,39.6,39.6,39.6,39.6,39.6,39.6,92,95,71,62,47,48,44
Burr Oaks,43.045077,-89.3881441,679.5,675.2,674.7,674.7,674.7,674.7,674.7,1427,1426,1426,1426,1426,1426,1426,23.6,23.6,23.6,23.6,23.6,23.6,23.6,3418,3415,3414,3414,3414,3414,3414,1277,1276,1276,1276,1276,1276,1276,32.9,32.8,32.8,32.8,32.8,32.8,32.8,146,137,137,117,162,214,113
Highlands,43.0790636,-89.4898776,423.8,422.9,422.9,422.9,422.9,422.9,422.9,809,805,805,805,805,805,805,83.8,83.8,83.8,83.8,83.8,83.8,83.8,1608,1601,1601,1601,1601,1601,1601,775,771,771,771,771,771,771,19.5,19.5,19.5,19.5,19.5,19.5,19.5,14,35,35,8,20,28,14
Gammon,43.080209,-89.5116919,431.6,426.1,426.1,426.1,426.1,426.1,426.1,1325,1319,1319,1319,1319,1319,1319,63,63,63,63,63,63,63,2657,2643,2643,2643,2643,2643,2643,1254,1249,1249,1249,1249,1249,1249,21.5,21.5,21.5,21.5,21.5,21.5,21.5,16,10,12,13,30,29,15
Walnut Grove,43.0794926,-89.3902102,656.9,656.9,656.9,656.9,656.9,656.9,657.6,2562,2562,2562,2562,2562,2562,2569,49.8,49.8,49.8,49.8,49.8,49.8,49.6,5001,5001,5001,5001,5001,5001,5012,2417,2417,2417,2417,2417,2417,2423,24.2,24.2,24.2,24.2,24.2,24.2,24.2,47,48,65,35,128,122,61
Sauk Point,43.0683723,-89.4934237,599.5,599.5,599.5,599.5,599.5,599.5,599.5,1512,1512,1512,1512,1512,1512,1512,60.9,60.9,60.9,60.9,60.9,60.9,60.9,3054,3054,3054,3054,3054,3054,3054,1419,1419,1419,1419,1419,1419,1419,22.9,22.9,22.9,22.9,22.9,22.9,22.9,46,36,28,28,70,47,32
Mineral Point,43.0563193,-89.4935133,898.3,898.3,898.3,898.3,898.3,898.3,898.3,1036,1036,1036,1036,1036,1036,1036,19.2,19.2,19.2,19.2,19.2,19.2,19.2,1391,1391,1391,1391,1391,1391,1391,908,908,908,908,908,908,908,6,6,6,6,6,6,6,274,290,292,191,250,233,135
Highpoint,43.0436519,-89.5154979,1188.7,1179.6,1179.5,1179.5,1179.5,1179.5,1214.9,4117,4116,4116,4116,4116,4116,4122,39,38.9,38.9,38.9,38.9,38.9,38.9,7742,7740,7740,7740,7740,7740,7751,3858,3857,3857,3857,3857,3857,3862,19.2,19.3,19.3,19.3,19.3,19.3,19.3,116,103,88,77,173,199,121
Greentree,43.0430532,-89.4905026,977.4,975.4,975.4,975.4,976.7,976.7,976.7,3130,3130,3130,3130,3130,3130,3130,44.5,44.5,44.5,44.5,44.5,44.5,44.5,6653,6652,6652,6652,6652,6652,6652,2930,2929,2929,2929,2929,2929,2929,24.7,24.7,24.7,24.7,24.7,24.7,24.7,157,142,147,119,135,170,120
Prairie,43.0237042,-89.4908214,535,534.9,534.9,534.9,534.9,534.9,534.9,1793,1793,1793,1793,1793,1793,1793,67.6,67.6,67.6,67.6,67.6,67.6,67.6,4339,4339,4339,4339,4339,4339,4339,1748,1748,1748,1748,1748,1748,1748,29.2,29.2,29.2,29.2,29.2,29.2,29.2,21,23,24,26,48,54,34
Arbor-McKee,43.0303105,-89.4263333,484.7,484.6,483.5,483.5,483.5,483.5,483.5,1554,1554,1554,1554,1554,1554,1554,35.9,35.9,35.9,35.9,35.9,35.9,35.9,3203,3202,3202,3202,3202,3202,3202,1420,1420,1420,1420,1420,1420,1420,25.48,25.5,25.5,25.5,25.5,25.5,25.5,82,81,87,54,76,89,77
Eagle Heights,43.0840306,-89.4326735,540,522.9,522.9,522.9,522.9,522.9,522.9,1228,1227,1228,1228,1228,1227,1228,3,3,3,3,3,3,3,2717,2716,2716,2716,2716,2716,2716,1162,1162,1162,1162,1162,1162,1162,38.8,38.8,38.8,38.8,38.8,38.8,38.8,6,10,3,2,43,15,19
Badger,43.033331,-89.3654811,752.2,750.6,750.6,752.8,752.8,752.8,753.5,1419,1418,1418,1418,1418,1418,1418,58.5,58.5,58.5,58.5,58.5,58.5,58.5,3296,3296,3296,3296,3296,3296,3296,1303,1302,1302,1302,1302,1302,1302,31.7,31.7,31.7,31.7,31.7,31.7,31.7,21,27,43,25,56,67,49
Raymond,43.0231493,-89.5133442,951.9,951.9,951.9,951.9,951.9,951.9,951.9,2974,2974,2974,2974,2974,2974,2974,61.7,61.7,61.7,61.7,61.7,61.7,61.7,6590,6590,6590,6590,6590,6590,6590,2795,2795,2795,2795,2795,2795,2795,30.7,30.7,30.7,30.7,30.7,30.7,30.7,40,42,26,40,74,81,46
Waunona Way,43.0476904,-89.3520097,247.1,247.1,247.1,247.1,247.1,247.1,247.1,998,998,998,998,998,998,998,44.4,44.4,44.4,44.4,44.4,44.4,44.4,1968,1968,1968,1968,1968,1968,1968,898,898,898,898,898,898,898,24.1,24.1,24.1,24.1,24.1,24.1,24.1,20,17,13,13,36,31,25
Junction,43.067542,-89.5298119,458.8,458.8,458.8,458.8,458.8,458.8,458.8,976,976,976,976,976,976,976,38.6,38.6,38.6,38.6,38.6,38.6,38.6,1628,1628,1628,1628,1628,1628,1628,904,904,904,904,904,904,904,10.3,10.3,10.3,10.3,10.3,10.3,10.3,48,53,51,33,76,105,44
Cross Country,43.0091868,-89.503637,1029.8,1029.8,1029.8,1029.8,1066.3,1066.3,1070.7,3009,3009,3009,3009,3021,3021,3030,79.8,79.8,79.8,79.8,79.8,79.8,79.8,7267,7266,7266,7266,7291,7291,7308,2883,2883,2883,2883,2895,2895,2903,37,37,37,37,36.9,36.9,36.9,27,31,23,13,37,25,14
Blackhawk,43.0784385,-89.5500013,411.4,411.2,411.2,412.1,417.6,417.6,417.6,1125,1125,1125,1125,1127,1127,1127,56.2,56.2,56.2,56.2,56.3,56.3,56.3,2597,2597,2597,2597,2605,2605,2605,1033,1033,1033,1033,1036,1036,1036,39.4,39.4,39.4,39.4,39.4,39.4,39.4,3,7,3,3,12,15,9
Elderberry,43.0676509,-89.5547052,621.4,638.8,638.8,744.3,759.5,899.1,914.5,289,291,291,292,293,294,294,63.4,63.6,63.6,63.6,63.7,63.7,63.7,570,573,573,576,577,581,582,239,240,240,241,242,243,243,36.4,36.2,36.2,36.2,36.1,36.1,36.1,17,4,1,1,46,58,26
Pioneer,43.0533083,-89.5473682,955.7,1022.3,1022.1,1156.7,1156.7,1179.7,1180.2,100,101,101,108,108,109,109,79,79.2,79.2,79.2,79.1,79.1,79.1,208,211,211,227,227,228,228,82,83,83,90,90,91,91,35.2,35.1,35.1,35.1,34.1,34.1,34.1,13,6,5,1,68,75,35
Midtown,43.0378863,-89.5480169,837.6,837.6,906.3,906.3,906.3,906.3,906.3,854,854,857,857,857,857,857,82.4,82.4,82.5,82.5,82.5,82.5,82.5,2051,2051,2059,2059,2059,2059,2059,771,771,775,775,775,775,775,39.6,39.6,39.5,39.5,39.5,39.5,39.5,14,6,3,6,35,33,16
University Ridge,43.0240937,-89.5442313,685.7,685.1,685.1,685.1,685.1,685.1,724.7,202,201,201,201,201,201,205,17,17,17,17,17,17,18.3,310,310,310,310,310,310,319,191,191,191,191,191,191,194,10.2,10.2,10.2,10.2,10.2,10.2,10.7,0,2,3,6,19,24,15
